Id,Price
4567,158729.75975933537
5925,126096.99089472703
960,141546.374063205
3848,99796.81919109072
746,184272.95431650797
868,346239.9300678766
672,116606.65087833769
2471,207911.27754373447
4510,122110.9427040144
8354,234663.70132839493
6393,178530.174982503
13270,221467.97294839713
5250,295754.03982454643
16751,172567.21199521254
11404,132597.8058463363
10588,376642.73816478066
14925,195929.02444322672
6791,202992.7953046984
16097,183183.9888094124
16428,372112.7034007207
6945,340299.25154360814
3190,187988.0658645415
15709,434109.7734776053
13155,161355.03964266006
7675,196504.13411967628
14686,241069.76100160196
609,154303.74300936505
11155,160428.6179344269
10869,194104.32480356123
15742,184853.3742957865
9245,189839.14429643433
3340,168498.34277801806
2359,276576.1039668189
8070,202962.5622981845
13707,131873.4847897932
16079,272614.2291402621
15937,285857.2651617444
14090,191478.5954592694
9008,220215.39164921292
16384,173109.18794438546
11657,244005.1009055673
13151,144658.43626032106
8990,156087.3096911732
11857,181467.8543481001
1565,153071.07034155936
8174,102450.86406741258
9247,239670.52109352805
10478,212426.9847944015
15509,143860.04059727065
8306,216521.0948741273
6642,183351.37615162806
7472,226068.71600663688
15989,124778.50395335289
13682,131436.8432793328
163,235202.45273969215
7076,195631.86381982494
7478,354450.16676874785
3029,188128.2930890133
1814,139345.01555799076
10057,128698.93634047834
15100,193069.4766682199
12694,230858.0693965034
6291,177878.09119799352
12603,183994.9138207276
3218,224567.60152298957
13456,127042.08693048352
10170,237632.7532656613
4530,159881.80539773562
13329,158247.48323867808
4820,149825.28851090223
10896,173898.81774768024
13416,119526.64713814789
2701,233572.51952128648
11265,326379.97704918
9189,250526.17574307756
1858,198476.9877783429
14536,238295.8120561475
6199,283788.3462652911
14730,152379.450547504
7510,255088.3457498225
15505,164040.62052021496
7446,190642.5960397648
14016,193782.47273312975
14113,107097.23890103959
8721,290735.9060286642
6193,313480.11269210745
5717,175692.64788238742
5427,301805.26241126435
9520,531442.9585112863
6869,101826.42227940459
1658,152010.16899814966
6639,227656.14190464903
6283,188576.23963869023
6257,127060.51472866826
15235,170080.82121468763
902,237482.81026926413
8932,195002.41914192532
16469,351033.6329760154
2825,284037.06478710915
6450,440250.1176536505
11366,177445.7934364486
3801,380180.14675077365
11385,197567.69593949168
1079,200454.519118783
3202,250078.3801677631
676,222091.78764232137
6185,295248.9329589425
7730,161517.93532819377
2573,176490.82989014388
10978,204432.1424166254
10962,262689.43288544915
8870,191634.05376493945
8496,183381.68957558053
5517,183787.9264570445
927,184481.40673258662
13675,207275.82293882506
1499,222718.6735035286
15536,354307.62987710384
8602,344793.7406748183
12137,474162.0063940607
9865,255971.98916818862
16353,290614.74073953123
15908,213430.74470905436
3944,180386.33546680445
10359,202871.55662962364
15158,222487.0879435381
3259,237772.48263310778
7220,313685.14881703694
13843,207884.0589805758
16736,183180.61216208694
702,253121.36202750064
16401,93859.95255104461
12134,181407.39042625882
6918,227741.3576915145
11792,130056.32651557427
3798,99543.95227254672
10395,135996.91400869068
11099,134719.36833597888
7090,199281.23923864152
11260,192329.62237389566
9647,211131.44683874302
2903,391798.88631730084
2071,185282.07102641737
8604,192655.6650872968
9346,205399.76771723985
3945,199563.45216727065
3420,135656.76693607424
10842,125471.99882553583
725,155247.7576752946
13931,196748.96545870532
16330,245795.18133461417
9066,414509.3620656625
3326,309159.96339885396
1556,268389.47757007944
6579,101640.19665089992
13877,137833.57144572283
9857,335143.6200271157
7302,251828.67445730476
5684,206097.43230227794
6513,226872.5083193257
11342,112637.12892920795
16561,222327.11382288567
6885,173427.52135739103
9308,177885.45590093493
2559,171279.41258380038
6648,175507.3113580246
15260,166175.1433265336
5113,190903.3343167268
16492,190126.22356344963
12034,273735.1847932604
7248,213267.81937294698
2171,218177.61051637892
10594,165913.08217908203
13241,208987.89234415413
7032,137990.8714031254
4884,168746.4904373577
903,232111.62936284256
162,168957.38199654547
6566,245595.2877353345
8249,141356.06086426895
13106,183206.52802944148
256,128822.68933134287
7976,164473.90406421514
8575,159692.5852029216
7591,269259.20982401044
3204,199251.0112395261
15804,176326.14558136353
1525,317760.9678197308
9038,204728.31818602653
13628,195110.6994748427
10016,206051.6518959668
10208,225587.96089494953
2008,184436.9228348172
13029,206727.6331355861
5099,126743.90981581729
9923,296959.98007979273
9461,124538.38074024316
11086,177684.98815995816
15057,252877.52710056165
10689,174400.2323971859
2053,221830.29888024257
16630,174597.7071853632
4985,161848.9880808883
13881,245152.48061967382
13225,193159.0735641425
5779,69726.84956859457
10262,175730.29184583094
10762,215287.40806925512
9513,198372.87960750892
11128,163162.89531477663
2074,304222.79518915125
933,195406.43077601818
2780,184759.82210303936
6594,116591.38679704882
15394,251783.78767325924
14863,132231.5970729678
6698,205132.77491364774
1611,260007.29994921965
174,183225.4287051145
5160,224751.2430140773
3295,326986.64225304103
4559,373407.85796920094
8254,171259.38831941132
10228,98702.96288824809
13924,133097.14264397352
15341,241530.93817246996
4353,176088.732021914
4334,72309.64653421527
1872,151455.56680595223
7823,185771.4765327367
310,156618.35080447665
3704,246385.2551466685
11615,316539.26748415176
6605,207325.13985540668
3381,188305.13437389437
2143,139220.4601169457
3191,255631.4070017262
13980,130671.2875327235
15613,168326.94268277936
10943,292113.3133651452
9654,139286.83439450548
16053,428644.5955197798
14931,216028.44396854498
8299,237618.24378124895
2147,165747.24142095333
11567,350825.48815424775
5905,131613.46025527827
11160,117487.12053527696
8275,143833.75156462303
16398,272639.33724687016
11229,184036.5972516283
10309,154244.6750415247
7340,262564.9665797214
7653,149361.7402553878
272,210650.73454647104
9831,209085.92044213292
5016,123833.87153298817
5968,65272.069448163165
796,251778.3235352085
12123,128379.30048770214
16629,180773.14137488318
2637,170829.36015951584
6194,210202.0835136848
6216,391463.32060792326
14346,176771.413971068
6428,124560.03793004144
2891,238700.64408421016
84,173302.63751146893
9260,219422.61634960555
15250,156062.6621546765
2348,179322.8829562138
10427,292836.5504079591
13230,254003.06796158594
1691,178704.83873042057
8803,124280.14458892054
5464,204949.19866600662
10559,108928.19451697901
16787,287918.95018095913
4278,157098.0487424413
6183,169465.98457017101
12775,157909.23096660175
10104,180146.28476930986
13663,168492.13581888296
9404,267286.119768623
14724,210916.68901164795
10040,179188.4286520342
4646,183923.3092288042
4754,151951.89641303252
3310,216796.69793337528
2003,183702.9040260627
7312,201177.61068079658
10921,216086.35307896638
13419,303635.6166137725
10105,162706.97895927075
2196,383476.3901841806
12659,236507.01518415488
4380,257843.50998787797
10847,145353.75831721374
10805,284812.9425015026
8709,87083.67069062806
8319,177745.48837917368
2215,184209.5870780297
7000,194795.05654161458
